#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.6%	1590000	-928.8632730125753	253.3188332745405	1.15e+03	4:06:21
1.6%	1595000	-865.4052747468053	305.5784526828652	1.15e+03	4:06:20
1.6%	1600000	-918.3967450617521	308.34340396240617	1.15e+03	4:06:20
1.6%	1605000	-893.0089333844986	311.3675001906747	1.15e+03	4:06:19
1.6%	1610000	-938.8347312639376	313.28435275323625	1.15e+03	4:06:18
1.6%	1615000	-875.4272047734185	297.3027445537376	1.15e+03	4:06:17
1.6%	1620000	-868.5367951576553	311.3849264236694	1.15e+03	4:06:17
1.6%	1625000	-910.7605218592494	270.8611805333057	1.15e+03	4:06:16
1.6%	1630000	-904.9224638878965	267.55080800114405	1.15e+03	4:06:15
1.6%	1635000	-918.7115546712224	301.82718322919527	1.15e+03	4:06:15
1.6%	1640000	-905.3138330294705	271.97998106510704	1.15e+03	4:06:14
1.6%	1645000	-878.7192445191815	326.79900817746017	1.15e+03	4:06:13
1.6%	1650000	-899.2892754888635	295.7917215121325	1.15e+03	4:06:12
1.7%	1655000	-896.2689238522865	292.0279197201229	1.15e+03	4:06:12
1.7%	1660000	-894.1751952633656	301.1147578214707	1.15e+03	4:06:11
1.7%	1665000	-899.5095580590121	310.3246376931663	1.15e+03	4:06:10
1.7%	1670000	-924.5434838458535	318.1055333924405	1.15e+03	4:06:09
1.7%	1675000	-852.2917339084382	316.5696440752907	1.15e+03	4:06:09
1.7%	1680000	-893.6403994378353	289.73446873711225	1.15e+03	4:06:08
1.7%	1685000	-891.8663371577493	325.8819650661848	1.15e+03	4:06:07
1.7%	1690000	-870.3214457583241	311.69241511554367	1.15e+03	4:06:07
1.7%	1695000	-894.1618414817979	285.7202516463002	1.15e+03	4:06:06
1.7%	1700000	-852.100831364186	290.6534958597342	1.15e+03	4:06:05
1.7%	1705000	-951.7709041466356	310.7435286221547	1.15e+03	4:06:04
1.7%	1710000	-913.3135422126295	288.38527488768176	1.15e+03	4:06:04
1.7%	1715000	-927.6879850377682	292.2226504337961	1.15e+03	4:06:03
1.7%	1720000	-849.3894866000394	277.08069236962575	1.15e+03	4:06:02
1.7%	1725000	-911.0459888934636	279.1505618072973	1.15e+03	4:06:01
1.7%	1730000	-944.7383396932383	280.59521966935716	1.15e+03	4:06:01
1.7%	1735000	-929.0371057888431	321.45672695805945	1.15e+03	4:06:00
1.7%	1740000	-955.3765152429897	304.3913856273115	1.15e+03	4:05:59
1.7%	1745000	-944.9255304249671	335.2081080027939	1.15e+03	4:05:59
1.8%	1750000	-891.3283639611503	294.91852505161796	1.15e+03	4:05:58
1.8%	1755000	-892.2913594503002	309.97617916698385	1.15e+03	4:05:57
1.8%	1760000	-853.7686947265482	284.74616820880885	1.15e+03	4:05:57
1.8%	1765000	-915.1439201177068	296.423331524337	1.15e+03	4:05:56
1.8%	1770000	-927.2135920922221	298.14922299478394	1.15e+03	4:05:55
1.8%	1775000	-895.5852896986817	355.7642842311087	1.15e+03	4:05:54
